,Restaurant_Name,Category,Locality,Known_For2,Id
547,Veg Gulati,"North Indian, Kebab, Mughlai, Biryani, Beverages"," Pandara Road Market, New Delhi",,548
548,Underdoggs,"Finger Food, North Indian, Asian, Mexican, Continental"," Aerocity, New Delhi",,549
549,Cremeborne,"Ice Cream, Desserts, Fast Food"," Connaught Place, New Delhi",,550
550,Le Cantine,"European, Mediterranean, Italian, Desserts, Beverages"," DLF Promenade Mall, Vasant Kunj, New Delhi","Warm Chocolate Pudding, Chicken Ala Kiev, Chicken Croquettes, Belgian Chocolate, Pesto Pasta, Mezze Platter",551
551,Taco Bell,"Mexican, Fast Food, Wraps, Beverages"," Epicuria Food Mall, Nehru Place, New Delhi",,552
552,Rajasthali,Rajasthani," Connaught Place, New Delhi","Mirch Vada, Dal Panchmel, Puran Poli, Churma, Gatta Curry, Dhokla",553
553,Kartoon Cafe,"Cafe, North Indian, Chinese, Continental, Desserts, Italian, Beverages"," Janakpuri, New Delhi",,554
554,Jamie's Pizzeria By Jamie Oliver,"Pizza, Italian"," Ambience Mall, DLF Phase 3, Gurgaon",,555
555,CAD Tech Bar,"Finger Food, North Indian, Chinese, Fast Food","  32nd Avenue, NH8, Gurgaon, Gurgaon",A tech savvy restaurant offering a unique dining experience with screens on tables giving it a futuristic feel,556
556,The Blue Parrot Cafe,"North Indian, Fast Food, Pasta, Italian, Pizza, Beverages, Coffee"," Kalkaji, New Delhi",,557
557,Three Tuns Cafe & Bar,"Continental, North Indian, Italian, Chinese"," Unity One Mall, Janakpuri, New Delhi",,558
558,Angithi,"North Indian, Chinese"," Mayur Vihar Phase 1, New Delhi",,559
559,IHOP,"Cafe, American, Desserts, Beverages, Sandwich, Burger"," Cyber Hub, DLF Cyber City, Gurgaon",,560
560,Maharashtra Sadan,"Maharashtrian, North Indian"," India Gate, New Delhi","Chicken Warhadi, Matki Usal, Kolhapuri Mutton, Puran Poli, Missal Pav, Chicken Kolhapuri",561
561,The Ladakhi Kitchen,"Tibetan, Momos, Chinese"," Supermart 1, DLF Phase 4, Gurgaon","Spicy Momo, Pork Shapta, Authentic Tibetan Food, Tingmo, Pork Momo, Wheat Momo",562
562,Café Pluck - Pullman New Delhi Aerocity,"Cafe, Italian, Street Food, North Indian, Desserts"," Pullman New Delhi Aerocity, Aerocity, New Delhi",,563
563,Lha Kitchen,"Chinese, Nepalese, Tibetan"," Safdarjung, New Delhi","Aloo Sadeko, Thukpa Noodles, Chicken Thali, Pork Ribs, Chicken Momo, Momos",564
564,Le Cirque - The Leela Palace,"French, Italian"," The Leela Palace, Chanakyapuri, New Delhi","Morel Mushroom Risotto, Scallops, Wine, Cocktails, Desserts",565
565,Lanterns Kitchen & Bar,"Fast Food, North Indian, Mughlai"," Rajendra Place, New Delhi",,566
566,Branch Kitchen And Bar,"Asian, Italian, Burger, Sandwich, Sushi"," South Extension 2, New Delhi","Mutton Galouti Kabab, Margherita Pizza, Virgin Mojito, Thin Crust Pizza, Mushrooms, Mocktails",567
567,Gravity Spacebar,"Continental, North Indian, Chinese, Momos"," Sector 29, Gurgaon",,568
568,The Creative Kitchen - Radisson Noida,"Continental, Chinese, North Indian"," Radisson, Sector 55, Noida, Noida",,569
569,Chateau De Pondichery,"Chettinad, French, South Indian, Tamil, Beverages"," Adchini, New Delhi","Dessert Crepe, Chocolate Ganache, Churros, Pepper Chicken, Filter Coffee, Prawn",570
570,Electro - High Spirit Club,"Continental, Italian, North Indian"," Rajouri Garden, New Delhi",,571
571,Shalom/Laidback Bar,"Continental, North Indian, Asian, Cafe, Pizza, Italian"," DLF Avenue, Saket, New Delhi","Mezze Platter, Hummus, Chips, Chilli Chicken, Drink, Pizza",572
572,Ching Singh,"Chinese, North Indian, Mughlai, Biryani, Seafood, Desserts"," Logix City Centre, Sector 32, Noida, Noida",,573
573,Kali Ghata,"North Indian, South Indian, Chinese, Fast Food, Mithai"," Uttam Nagar, New Delhi","Dahi Samosa, Kaju Katli, Gajar Halwa, Rajkachori, Golgappe, Lassi",574
574,Baluchi - The Lalit New Delhi,"Mughlai, North Indian, South Indian, Kebab"," The Lalit New Delhi, Barakhamba Road, New Delhi","Dal Balluchi, Pan Kulfi, Fish Tikka, Gulab Jamun, Breads, Dessert",575
575,Elma's Bakery & Kitchen,"Bakery, Italian, Continental, Beverages"," Hauz Khas Village, New Delhi",English style cafe with wide breakfast options and desserts,576
576,Haldiram's,"North Indian, South Indian, Fast Food, Mithai, Street Food, Bakery, Chinese"," Lajpat Nagar 3, New Delhi","Pista Barfi, Paneer Cutlets, Kesar Kulfi Faluda, Delhi Chaat, Raj Kachori, Matar Kulcha",577
577,Fateh Chand Kachori,Street Food," Civil Lines, New Delhi","Customizations Available, Elegantly Decorated, Drive through, Economical, Not very Crowded, Pocket Friendly",578
578,Helix - The Celestial Kitchen,"Chinese, Asian, Continental, North Indian, Beverages"," Elements One Mall, Sector 49, Gurgaon","Shrimp Cocktail, Chips, Drink, Beer, Pasta, Paneer Tikka",579
579,TCRC - The Club Road Cafe,"Chinese, Mughlai, North Indian, Beverages, Continental"," Punjabi Bagh, New Delhi",,580
580,Food Exchange - Novotel New Delhi Aerocity,"North Indian, Continental, European, Desserts, Beverages, Asian"," Novotel New Delhi Aerocity, Aerocity, New Delhi",,581
581,The Tummy Section,"Fast Food, Chinese"," Jail Road, New Delhi","Garlic Sauce Momo, Creamy Chicken Lollipops, Chicken Shawarama, Crispy Momos, Shawarma Rolls, Gravy Momo",582
582,Chacha Gyan Ka Dhaba,North Indian," NIT, Faridabad","Office Crowd, Cute Little Place, Good Crowd, Good Delivery, Low Price, Reasonable Prices",583
583,Pandit Ji Parantha Hut,"North Indian, Beverages"," Ashok Vihar Phase 2, New Delhi",,584
584,Spize Barbeque & Bar,"North Indian, Chinese, BBQ, Mughlai, Beverages"," Sector 63, Noida",,585
585,Big Boyz Lounge Air Bar,"Bar Food, North Indian, Chinese, Fast Food, Desserts, Beverages"," Sector 29, Gurgaon","Tandoori Chicken Tikka, Paneer Tikka Pizza, Sangria, Cocktail, Tawa Chicken, Peri Peri Fries",586
586,Latest Recipe -  Le Meridien Gurgaon,"North Indian, Asian, Italian, European, Mediterranean, Salad, Desserts, Beverages"," Le Meridien Gurgaon, MG Road, Gurgaon",,587
587,Prem Dhaba,"North Indian, Mughlai"," Karol Bagh, New Delhi","Butter Chicken and Naan, Chicken Tenders, Masala Chaap, Tawa Chicken, Afghani Chicken, Daal Makhni",588
588,Rewari Sweets,"Mithai, Street Food"," Sadar Bazar, Gurgaon","Chatpata Chaats, Paneer Jalebi, Thali Options, Gujiya, Rasmalai, Lassi",589
589,Delectable Cafe,"Continental, Mediterranean, Salad, Italian, Lebanese, Seafood"," Baani Square, Sector 50, Gurgaon",,590
590,Culinary Blend,"Mexican, Chinese, Italian, Beverages"," Baani Square, Sector 50, Gurgaon",,591
591,The Smoke Factory,"North Indian, Fast Food, Chinese, Beverages, Kebab, Mughlai"," Gardens Galleria, Sector 38 Noida, Noida",,592
592,#TYM Cafe & Restaurant,"Cafe, Continental, Chinese, North Indian, Healthy Food, Italian, Pizza"," Raj Nagar, Ghaziabad",,593
593,Cafe G - Crowne Plaza,"North Indian, Continental, Chinese"," Crowne Plaza, Sector 29, Gurgaon",,594
594,Judge & Jury,"North Indian, Chinese, Continental, Italian"," Hudson Lane, New Delhi",,595
595,Italiano,"Pizza, Italian, Desserts, Beverages"," Cyber Hub, DLF Cyber City, Gurgaon",,596
596,21 Shots - The MRP Bar,"Chinese, Continental, North Indian, Italian"," Sector 29, Gurgaon",,597
597,Gulab,"Mithai, North Indian, South Indian, Street Food, Fast Food, Chinese"," Pitampura, New Delhi",Easy On The Pocket Indian Sweets Along With A Good Variety Of Street Food,598
598,"Cafe Dakia-Pizza,Pasta & More","Cafe, Fast Food, Panini, Pasta, Pizza, Italian, Beverages"," Sushant Lok, Gurgaon","Baked Macaroni, Peri Peri Paneer, Brown Rice, Paneer Tikka Pizza, Cheesecake, Burger",599
599,Seasonal Tastes - The Westin Gurgaon,"North Indian, Asian, Japanese, Thai, Sushi, Desserts"," The Westin Gurgaon, Sector 29, Gurgaon",,600
600,NutrioBox,"Continental, Fast Food, Healthy Food, Desserts, Beverages"," Prashant Vihar, New Delhi","Exotic Fruit Bowl, Stuffed Chicken Breast, Meal Box, Carrot Cake, Bbq Chicken, Omelette",601
601,Al Jawahar,"Mughlai, North Indian"," Jama Masjid, New Delhi","Chicken Bihari, Roti Boti Roll, Kaleji Gurda, Sheer Maal, Badam Pasanda, Mutton Quorma",602
602,RP's Restaurant,"Mughlai, North Indian, South Indian, Fast Food, Chinese, Rolls"," Malviya Nagar, New Delhi","Kashmiri Aloo, Soyabean Chaap, Hariyali Chicken, Ginger Chicken, Vegetable Uttapam, Deluxe Veg Thali",603
603,Chinese Panda,Chinese," Sector 29, Gurgaon","Pepper Chicken Wing, Prawn Manchurian, Spicy Fish, Vegetable Hakka Noodles, Dimsum Platter, Pepper Prawns",604
604,Prego - The Westin Gurgaon,Italian," The Westin Gurgaon, Sector 29, Gurgaon",California-influenced preparations and an extensive wine list,605
605,Shekaza - Since 1992,"North Indian, Mughlai, Chinese, Biryani, Thai"," Chittaranjan Park, New Delhi",,606
606,Nagaland's Kitchen,"Chinese, Thai, Seafood, Naga"," Green Park, New Delhi","Bamboo Shoot Pork, Naga Thali, Pork Thali, Meat Curry, Ribs, Chicken Dimsums",607
607,Dhaba At Atta,"North Indian, Chinese, Kebab, Desserts, Beverages"," Sector 18, Noida",,608
608,Momo's Point,"Chinese, Fast Food"," Kamla Nagar, New Delhi","Veg Masala Momos, Crispy Honey Potatoes, Juicy Chicken Drumsticks, Thai Noodles, Chicken Meal, Chicken Fried Momos",609
609,Walk In The Woods,"North Indian, Mughlai, Chinese"," Vaishali, Ghaziabad","Honey Potato, Boneless Chicken, Rara Chicken, Sizzler, Sweet Corn Soup, Mocktail",610
610,The Whisky Bar & Brewpub,"North Indian, Fast Food, Italian"," Sector 29, Gurgaon",,611
611,Smelling Salts,"North Indian, Chinese, Fast Food, Mughlai, Beverages"," Ashok Vihar Phase 2, New Delhi",,612
612,Zaika-E-Dilli,"North Indian, Chinese, South Indian, Fast Food"," Shahdara, New Delhi","Stuffed Chaap, Paneer Tika, Mushroom Masala, Malai Chaap Roll, Paneer Naan, Deluxe Thali",613
613,Cafe Culture,"Cafe, Italian, Continental, Beverages"," Greater Kailash 1 (GK1), New Delhi","Mint Drink, Berry Smoothie, Mezze Platter, Tiramisu, Coffees, Salads",614
614,Maini's Green Leaf,"North Indian, Chinese"," Kaushambi, Ghaziabad","Dahi Ke Sholey, Sizzlers, Tomato Soup, Malai Kofta, Soups, Paneer Lababdar",615
615,Momo King,"Momos, Chinese, Tibetan, Fast Food, Malaysian, Nepalese, Thai"," Sushant Lok, Gurgaon",,616
616,Abdul Ghani Qureshi Kabab Corner,"Kebab, North Indian, Biryani, Fast Food"," Jama Masjid, New Delhi","Unlimited Refills, Office Crowd, Elegantly Decorated, Waiting Time, Inexpensive, Good Portions",617
617,Pling - Pullman New Delhi Aerocity,"Bar Food, North Indian, Continental"," Pullman New Delhi Aerocity, Aerocity, New Delhi",,618
618,Jughead's Fast Food Corner,"Chinese, Fast Food, North Indian"," Uday Park, New Delhi","Butter Chicken Pizza, Honey Chilli Potatoes, Chilli Paneer, Pizzas, Burgers, Shahi Paneer",619
619,Khidmat,"North Indian, Mughlai, Chinese, Beverages"," Sector 50, Noida",,620
620,Flavors Of Chennai,South Indian," Malviya Nagar, New Delhi",,621
621,Symposium,"North Indian, Chinese, Italian, European, Beverages, Mughlai"," City Centre Mall, Sector 12, Dwarka, New Delhi",,622
622,Kishu Di Hatti Sweets,Mithai," Sector 7, Gurgaon",,623
623,Wok In The Clouds,"Chinese, Thai, Continental, North Indian, Beverages"," Khan Market, New Delhi","Chicken Triangles, Mango Sangria, Kulfi Platter, Buffalo Chicken Wings, Sizzling Brownie, Pad Thai Noodles",624
624,Bella Cucina - Le Meridien Gurgaon,Italian," Le Meridien Gurgaon, MG Road, Gurgaon",,625
625,The Artful Baker,"Bakery, Desserts, Beverages, Fast Food"," Khan Market, New Delhi","Cheese Croissant, Chocolate Muffin, Macaroons, Latte, Hot Chocolate, Pastries",626
626,Kaffiiaa - The Italian Kitchen,"Bakery, Italian, Pizza, Momos, Continental, Fast Food, Desserts, Beverages"," Sector 18, Noida","Moroccan Pizza, Arabic Platter, Classic Margherita Pizza, Peri Peri Pizza, Lasagna, Chicken Pizza",627
627,Bhaja Govindam,"North Indian, South Indian, Fast Food"," Asaf Ali Road, New Delhi","Kaju Korma, Mysore Masala Dosa, Tomato Soup, Special Thali, Sambhar, Chutneys",628
628,Cafe Grub Up,"Cafe, Fast Food, Chinese, Seafood, Desserts, Beverages"," Sector 15, Faridabad",,629
629,Bottles And Barrels,"North Indian, Asian, Italian, Momos"," Sector 30, Gurgaon",,630
630,Haji Shabrati Nihari Wale,Mughlai," Jama Masjid, New Delhi","Breakfast, Yummy Food, Preparation, Hygiene, Owner, Spicy",631
631,Flavours Of Chakhna,"North Indian, Mughlai, Chinese, Biryani"," Amrapali Leisure Valley, Greater Noida",,632
632,Mystery Of Food,"North Indian, Chinese, Mughlai, Italian"," Indirapuram, Ghaziabad",,633
633,Biryani Blues,"Biryani, Kebab"," Supermart 1, DLF Phase 4, Gurgaon",,634
634,Prem Di Hatti,"North Indian, Street Food"," Rajouri Garden, New Delhi","Chur Chur Naan Thali, Chola Bhatura, Lassi, Rajma Chawal, Rajma Rice, Soya Chaap",635
635,Ghalib Kabab Corner,"North Indian, Mughlai, Kebab, Desserts, Beverages"," Nizamuddin, New Delhi","Beef Kebabs, Seekh Kebabs, Kababs, Phirni, Chicken Tikka, Mutton",636
636,Keralicious,"South Indian, Kerala"," Supermart 1, DLF Phase 4, Gurgaon","Dosa Chicken Curry, Kothu Parotta, Veg Uttapam, Appam, Veg Korma, Filtered Coffee",637
637,Depot48,"North Indian, Street Food, Modern Indian, Bengali, Desserts, Beverages"," M Block Market, Greater Kailash 2 (GK2), New Delhi","Guacamole, Quesadilla, Waffles, Tacos, Salsa, Cocktails",638
638,Downtown Kitchen & Bar - Courtyard by Marriott,"North Indian, Fast Food, Continental, Italian, Desserts, Beverages"," Courtyard by Marriott, Sushant Lok, Gurgaon",,639
639,Udupi Krishna,"South Indian, North Indian, Chinese, Beverages"," Kamla Nagar, New Delhi","Paper Plain Dosa, Matar Mushroom, Dahi Vada, Mysore Masala Dosa, Filter Coffee, Sambar",640
640,Jamavar - The Leela Palace,"North Indian, Mughlai"," The Leela Palace, Chanakyapuri, New Delhi","Amazing Ambience, Decor, Interior, Mood, Great Service, Great Ambience",641
641,Rajan Corner,"South Indian, Chinese"," Moti Nagar, New Delhi","Economical, Good Crowd, Great Ambiance, Prompt Service, Amazing Food, Best Place",642
642,Cake Castle,"Bakery, Desserts, Fast Food"," Sector 83, Gurgaon","Coffee and Doughnuts, Melted Chocolate, Birthday Cakes, Wonderful Cake, Yummy Cake, Pancakes",643
643,Pepper Pot - The Terrace Café,"Cafe, Chinese, North Indian"," Sector 56, Gurgaon",,644
644,Goosebumps,"Ice Cream, Desserts, Beverages"," Karkardooma, New Delhi","Nutella Ice Cream, Coffee Hazelnut, Choco Fudge, Waffle Cone, Ice Creams, Icecream",645
645,Oasis - Vivanta by Taj,"Continental, North Indian, Asian, Italian"," Vivanta by Taj, Suraj Kund, Faridabad","Get a complimentary night, earn up to 50% of spends as points at 250+ restaurants & much more. Know more",646
646,Punjabi Zaika,"North Indian, Chinese, Mughlai, Biryani, Rolls"," Ballabhgarh, Faridabad","Paneer Malai Kofta, Hari Mirch Parantha, Spicy Chicken, Afghani Chaap, Tandoori Chaap, Chicken Rara",647
647,Los Amigo's Cafe,"Coffee, Healthy Food, Desserts, Fast Food, Beverages, Chinese, American, Italian"," Sector 31, Gurgaon","Peri Peri Pizza, Paneer Tikka Pizza, Grilled Fish, Peri Fries, Hot Chocolate, Waffles",648
648,Hornbill,"Naga, Chinese"," Safdarjung, New Delhi","Chicken Liver Fry, Smoked Pork Curry, Bamboo Shoot Pork, Fish Thali, Ribs, Chutneys",649
649,Swagath,"North Indian, Chinese, South Indian, Seafood"," Defence Colony Main Market, Defence Colony, New Delhi","Crab Butter, Prawn Koliwada, Neer Dosa, Chettinad Chicken, Appam, Jumbo Prawns",650
650,Food Peddler,"Fast Food, Desserts, Beverages"," Anand Vihar, New Delhi","Peri Fries, Hot Chocolate, White Sauce Pasta, Pasta, Burgers",651
651,Made In India - Radisson Blu,"North Indian, Kebab, Desserts, Mughlai"," Radisson Blu, Sector 18, Noida, Noida",,652
652,The Categorical Eat Pham,"North Eastern, Chinese, Naga"," Safdarjung, New Delhi","Smoked Pork Curry, Duck Curry, Fish Thali, Chicken Thali, Sticky Rice, Fish Curry",653
653,Royal China,"Chinese, Asian, Cantonese, Seafood, Desserts"," Nehru Place, New Delhi",Fusion of Chinese and Cantonese cuisine; view of Bahai temple fom 16th floor,654
654,Tasim,"Asian, Thai, Japanese, Seafood, Sushi, Chinese, Momos"," Rajouri Garden, New Delhi",,655
655,Mazaar,"Kebab, Afghan"," Lajpat Nagar 2, New Delhi","Sheer Yakh, Afghani Pulao, Lamb Ribs, Mixed Vegetables, Skewers, Rajma",656
656,Ka Eclairs & Kafe,"Cafe, Bakery, Burger, Italian, Pizza, Salad, Fast Food, Beverages"," Sector 18, Noida","Tiramisu Pastry, Eclairs, Black Forest Pastry, Truffle Pastry, Blueberry Cheese Cake, Fresh Fruit Cake",657
657,Young Wild Free Cafe,"Cafe, Fast Food, Chinese, Italian, Beverages"," Satyaniketan, New Delhi",,658
658,Star Crust,"Fast Food, Chinese, Desserts, Beverages"," Sector 7, Faridabad","Peri Peri Pizza, Kit Kat Shake, Mixed Sauce Pasta, Pastas, Pizzas, Oreo Shake",659
659,PDA,Italian," Greater Kailash 2 (GK2), New Delhi","Bartender, Bar, Vibe, Concept, Perfect Place, Ambiance",660
660,Dashi Dimsum & Sushi Bar,"Asian, Japanese, Sushi, Chinese, Desserts"," Punjabi Bagh, New Delhi","Smoked Salmon Roll, Wasabi Roll, Poke Bowl, Sushi, Dimsum, Fish",661
661,The Shim Tur,"Korean, Salad"," Paharganj, New Delhi",,662
662,Pizza Villa,"Pizza, Fast Food, Beverages"," NIT, Faridabad","Melted Chocolate, White Sauce Pasta, Pizzas, Noodles",663
663,Slic Chic,"Chinese, Salad, Momos, Beverages"," Shalimar Bagh, New Delhi","Drum Sticks, Honey Chilli Potatoes, Chilli Garlic Noodles, Noodles, Chinese Food, Pasta",664
664,Yellow Mirchi - Hotel City Park,North Indian," Hotel City Park, Pitampura, New Delhi","Classy Place, Live Music, Best Places, Great Ambience, Courteous Staff, Environment",665
665,TBK Kulcha's,"Sandwich, Burger, Italian, Beverages, Fast Food, Street Food"," Janakpuri, New Delhi",,666
666,Foxtrot,"Continental, Italian, European, Modern Indian, Beverages, North Indian"," DLF Cyber City, Gurgaon","Fusion Taco, Mustard Aioli, Chicken 65, Pao Bhaji, Kulcha, Drink",667
667,Dingdong Pizza By Big Wong,"Pizza, Italian, Fast Food"," Sector 29, Gurgaon","Salted Caramel Shake, Cheesiest Pizza, Paneer Makhni Pizza, Butter Chicken Pizza, Cheese Roll, Lasagna",668
668,Mughal Darbar,"North Indian, Mughlai"," JNU, New Delhi","Mutton Jahangiri, Chicken Jahangiri, Afghan Chicken, Mughlai Food, Butter Naan, Tandoori Roti",669
669,Cafe on 3 - Holiday Inn,"Continental, Chinese, Thai, Mediterranean"," Holiday Inn, Mayur Vihar, New Delhi","Dinner Buffet, Shawarma, Deserts, Starter, Mocktails, Sweets",670
670,Tikka Junction Courtyard,"North Indian, Chinese, Fast Food, Desserts, Beverages"," Malviya Nagar, New Delhi","Paneer Papdi, Soya Malai Tikka, Tandoori Spring Roll, Bhatti Chicken, Butter Chicken Pizza, Fried Rice",671
671,Heritage,"North Indian, Chinese, Fast Food"," Sector 15, Gurgaon",,672
672,Kent's Fast Food,"Fast Food, Burger, Pizza, Sandwich, Ice Cream, Desserts, Beverages"," Defence Colony Main Market, Defence Colony, New Delhi",,673
673,TC Bar & Restaurant,"North Indian, Continental, Finger Food"," Adchini, New Delhi",Best rock night in town with DJ Sagar every Friday and Saturday!,674
674,The Royal Kitchen,"North Indian, Chinese, Mughlai, Biryani"," Gamma 1, Greater Noida","Crispy Chilli Potatoes, Panneer Butter Masala, Egg Curry, Noodle, Chicken Malai Tikka, Dal Tadka",675
675,Shikhara,"North Indian, Mughlai"," Greater Kailash 1 (GK1), New Delhi","Saag Chicken, Tandoori Prawns, Chicken Tikka Masala, Fish Tikka, Malai Kofta, Butter Chicken",676
676,Changezi Chicken,"North Indian, Mughlai"," Daryaganj, New Delhi","Chicken Nihari, Changezi Chicken, Phirni, Rumali Roti, Malai Tikka, Butter Chicken",677
677,Mizo Diner,North Eastern," Safdarjung, New Delhi","Vawksa Rep, Stir Fry Pork, Smoked Pork, Pork Ribs, Chicken Curry, Thali",678
678,La Vera Pizzeria - The Wood Fired Pizza House,"Pizza, Fast Food, Italian, Beverages"," Sector 31, Gurgaon",,679
679,Kitchen District - Hyatt Regency,"Asian, Continental, North Indian, Japanese"," Hyatt Regency, Sector 83, Gurgaon, Gurgaon",,680
680,Sethi's Restaurant & Barbeque,"North Indian, Chinese, BBQ, Mughlai"," Rajouri Garden, New Delhi","Beliram Chicken, Malai Soya Chaap, Fried Chicken, Malai Kofta, Afghani Chicken, Paneer Butter Masala",681
681,Flavours Of Magadh,"North Indian, Mughlai, Bihari"," Sector 52, Noida","Mushroom Matar Masala, Paneer Masala Tikka, Chicken Keema Masala, Dahi Sholey, Veg Executive Thali, Veg Jalfrezi",682
682,Mandarin Trail,"Chinese, Thai, North Indian"," The Great India Place, Sector 38, Noida",,683
683,Untapped Brew & Pub,"North Indian, Chinese, Continental"," Sector 21, Gurgaon","Tequila Sunrise, Chilli Mushroom, Drums of Heaven, Mocktails, Veg Platter, Chilli Chicken",684
684,Pandit Ji Paranthe Wale,North Indian," Ashok Vihar Phase 2, New Delhi","Anda Parantha, Mix Paratha, Kadhi Chawal, Aloo Pyaz Paratha, Tea",685
685,Too Mikkii Tapas Now Baking,"Cafe, Continental, Fast Food, Beverages, Desserts"," South Extension 2, New Delhi","Banana Bread, Dessert Platter, Cappuccino, Hot Chocolate, Coffees, Cheese Pizza",686
686,Cafe Connect,"North Indian, Italian, Continental, Mediterranean"," Vasant Kunj, New Delhi",,687
687,The Culinary Court - Park Ascent,"North Indian, Chinese, Continental"," Park Ascent, Sector 62, Noida, Noida","Cheerful Staff, Classy Ambience, Worth the Price, Relaxed Atmosphere, Beautiful Ambience, Good Options",688
688,Maati,"North Indian, Chinese, Fast Food, Desserts"," Amrapali Dream Valley, Greater Noida",,689
689,Mom Hand Momos,"Momos, Chinese"," Satyaniketan, New Delhi","Gravy Momo, Tandoori Paneer Momos, Chicken Chowmein, Noodle, Chicken Momos, Spring Roll",690
690,Pasta Xpress,"Italian, Pizza, Fast Food"," Sector 11, Dwarka, New Delhi","Cottage Cheese Pasta, Tandoori Pasta, Garlic Bread with Cheese, Pastas, Chicken Burger, White Sauce Pasta",691
691,La Kababiyaa,"North Indian, Mughlai, Chinese, Kebab"," Sector 7, Dwarka, New Delhi","Matar Mushroom, Pudina Parantha, Changezi Chicken, Dahi Kabab, Panneer Butter Masala, Chicken Fried Rice",692
692,Namak Mandi,"North Indian, Awadhi, Kebab, Mughlai, Beverages"," DLF Promenade Mall, Vasant Kunj, New Delhi","Orange Kulfi, Lamb Briyani, Galawati Kebab, Mango Mojito, Thandai, Khameeri Roti",693
693,Mallacca,"Malaysian, Asian","  32nd Avenue, NH8, Gurgaon, Gurgaon","Roti Jala, Lamb Rendang, Tofu Salad, Penang Curry, Fried Rice Chicken, Nasi Goreng",694
694,Nazeer Delicacies,"North Indian, Mughlai, Chinese"," Sector 135, Noida","Mutton Barra, Khameeri Roti, Roasted Chicken, Phirni, Mughlai Food, Chicken Biryani",695
695,Shake Eat Up,"Fast Food, Italian, Chinese, Desserts, Beverages, Pasta"," Delhi University-GTB Nagar, New Delhi","Milky Way Shake, Turtle Sundae, Masala Garlic Bread, Nutella Jar, Pineapple Mojito, Chicken Bbq Wings",696
696,Dvar Indian Restaurant - Radisson Blu Dwarka,"North Indian, Mughlai"," Radisson Blu, Sector 13, Dwarka, New Delhi","Live Sufi Music, Live Kitchen, Worth the Price, Classy Place, Great Ambience, Hospitality",697
697,Red Chilli,"Asian, North Indian, Continental, Chinese, Fast Food, Beverages"," Rajouri Garden, New Delhi",,698
698,The Pizza Story,"Pizza, Continental"," Sector 17, Faridabad","Triple Delight, Chicken Meatballs, Spicy Paneer, Stuffed Garlic Bread, Cheese Burst, Cheese Pizza",699
699,Changezi Chicken,"North Indian, Afghan"," Karol Bagh, New Delhi","Butter Tandoori Chicken, Changezi Chicken, Mughlai Chicken, Khameeri Roti, Firni, Spicy Chicken",700
700,Chinese Kitchen,"Momos, Chinese, North Indian, Beverages"," Karkardooma, New Delhi","Afghan Chicken, Paneer Momos, Drums of Heaven, Noodle, Chilly Potato, Chicken Lollipop",701
701,Pink Box,"Bakery, Desserts"," Hauz Khas, New Delhi",,702
702,The Rolling Joint,"Rolls, North Indian, Beverages"," Connaught Place, New Delhi","Soya Chaap Tikka Roll, Pink Mojito, Masala Lime Soda, Peri Chicken Roll, Kokum Drink, Chicken Khurchan",703
703,Hishi Cafe,"Cafe, Continental, Fast Food, Beverages"," Jangpura, New Delhi","Pork Ham Sandwich, Cheese Chicken Omelette, Tomato Basil Bruschetta, Classic Veg Burger, Tuna Sandwich, Bubblegum Shake",704
704,Ramesh Vaishno Dhaba,North Indian," Chander Nagar, New Delhi","Veg Korma, Stuffed Chaap, Shahi Paneer, Paneer Tikka",705
705,Cafe Lungta,"Tibetan, Nepalese, Momos"," Sector 15, Gurgaon","Chicken Shyapta, Pork Shapta, Nepali Thali, Tingmo, Chicken Momo, Cocktail",706
706,Edesia - Crowne Plaza,"Continental, North Indian, Mughlai, Chinese, Fast Food"," Crowne Plaza, Okhla, New Delhi",,707
707,Mughlai Junction,"North Indian, Mughlai, Rolls"," Connaught Place, New Delhi","Jahangiri Chicken Korma, Tangdi Chicken, Chicken Burrah, Rara Meat, Authentic Mughlai Food, Khameeri Roti",708
708,Bikanervala Angan,"Mithai, Street Food, North Indian, Chinese, South Indian, Beverages, Desserts"," Karol Bagh, New Delhi","Deluxe Veg Thali, Kaju Barfi, South Indian Platter, Ras Malai, Jalebi, Tandoori Platter",709
709,McDonald's,"Burger, Fast Food, Beverages, Desserts"," Karkardooma, New Delhi","Veg Pizza Mcpuff, Mcaloo Tikki, Choco Brownie, Peri Fries, Iced Tea, Burgers",710
710,Amritsari Kulccha Corner,"North Indian, Street Food"," Vikaspuri, New Delhi","Mixed Kulcha, Aloo Pyaz Kulcha, Cheese Kulcha, Boondi Raita, Gulab Jamun, Thali",711
711,Bakers Oven,"Bakery, Fast Food, Beverages, Pizza, Wraps"," Sector 31, Gurgaon","Walnut Chocolate Pastry, Veg Pattice, Veg Grilled Sandwich, Fresh Fruit Cake, Pastries, Cakes",712
712,Giani's,"Ice Cream, Desserts, Beverages"," Paschim Vihar, New Delhi","Caramel Mocha Sundae, Brownie Sunday, Chocolate Fudge, Belgian Chocolate, Ice Creams, Icecream",713
713,Champaran Meat House,North Indian," Gaur City 2, Greater Noida","Handi Mutton, Mutton Curry, Handi Chicken, Fish Curry, Chicken Curry, Meat",714
714,Janta Eating House,North Indian," Shahdara, New Delhi","Shahi Paneer Makhani, Paneer Naan, Panneer Butter Masala, Jeera Rice, Rajma, Butter Roti",715
