,Restaurant_Name,Category,Locality,Known_For2,Id
232,Smoke House Deli,"Italian, Continental, Fast Food, Desserts, Beverages"," DLF Avenue, Saket, New Delhi","Ricotta Ravioli, Bagels, Rocher Shake, Peri Chicken, Risotto, Steak",233
233,Roots - Cafe In The Park,"North Indian, Street Food, Desserts"," Sector 29, Gurgaon","Railway Masala Omelette Sandwich, Wai Wai Bhel, Moong Dal Chila, French Press Coffee, Mushroom Toast, Modinagar Shikanji",234
234,La La Land Brew Pub,"Finger Food, North Indian, Continental, Chinese, Street Food, Desserts, Beverages"," Global Foyer Mall, Golf Course Road, Gurgaon",,235
235,Sweet Obsession Bakery,"Bakery, Desserts, Italian, Salad"," South Point Mall, Golf Course Road, Gurgaon",,236
236,Only Bar,"North Indian, Chinese, Street Food, Fast Food, Continental, Mughlai, Beverages, Biryani"," Nehru Place, New Delhi","Bommidayala Pulusu, Schezwan Fish, Tanduri Chicken, Chinese Platter, Bao, Drums of Heaven",237
237,Another Fine Day,"Cafe, Mediterranean, Salad, Continental"," Golf Course Road, Gurgaon","Yogurt Pot, Pancake Stack, Raspberry Mojito, Avocado Salad, Eggs Benedict, Hazelnut Coffee",238
238,Sandwedges,Fast Food," Raj Nagar, Ghaziabad","Pesto Exotica, Iced Peach Tea, Peri Peri Fries, Kitkat Shake, Oreo Shake, Shakes",239
239,QD's Restaurant,"Chinese, North Indian, Italian, Fast Food, Ice Cream, Beverages"," Lajpat Nagar 2, New Delhi","Paneer Makhani Platter, Brownie Fudge Sundae, Changezi Chicken, Sundae, Drums of Heaven, Chocolate Fudge",240
240,The Irish House,"European, American, Bar Food, Finger Food, Continental"," DLF Mall of India, Sector 18,  Noida, Noida","Dual Chocolate Torte, Mushroom Bites, Drunken Prawns, Lunch Deal, Fries Basket, Sweet Potato Fries",241
241,The Hong Kong Club - Andaz Delhi,Cantonese," Andaz Delhi, Aerocity, New Delhi",Chinese Zodiac-Inspired cocktails & Modern Cantonese food.,242
242,Chi Ni - The Roseate,"Chinese, Seafood, Desserts"," The Roseate, Kapashera, New Delhi",,243
243,AKU'S - The Burger Co.,"Burger, American"," Defence Colony, New Delhi","Truffle Fries, Beetroot Burger, Paprika Fries, Whole Wheat Bun, Belgian Shake, Lamb Patty",244
244,World Trail,"Cafe, Burger, Italian, Fast Food, Desserts, Pizza"," Sector 135, Noida","Mutton Meatballs, Rasmalai Shake, Pizza Alle Verdure, Classic Veg Burger, Mushroom Sandwich, Chocolate Milk",245
245,Baa Bistro,"North Indian, Kebab, Chinese, Beverages, South Indian"," Mayur Vihar Phase 1, New Delhi",,246
246,Singh Sahib,"North Indian, Chinese, Mughlai"," Sector 5, Dwarka, New Delhi","Sharing Platter, Pudhina Chutney, Punjabi Chicken Curry, Dahi Kebab, Tikka Masala, Daal Makhni",247
247,Shiv Tikki Wala,"Street Food, North Indian"," Karkardooma, New Delhi","Dahi Gol Gappe, Dahi Papdi, Kathi Kabab, Paav Bhaji, Stuffed Chaap, Bhalla Papdi",248
248,Sagar Ratna,"South Indian, North Indian"," Defence Colony Main Market, Defence Colony, New Delhi","Mysore Plain Dosa, Dahi Vada, Curd Rice, Filter Coffee, Idli, Sambar",249
249,Sibang Bakery,"Beverages, Desserts"," South Point Mall, Golf Course Road, Gurgaon","Almond Tart, Sausage Roll, Tuna Sandwich, Ham Sandwich, Vanilla Latte, Tea Cake",250
250,Bhalla King,"Chinese, Street Food, Fast Food, Desserts, Mithai"," Hauz Khas, New Delhi","Dahi Bhalla Papdi, Punjabi Tadka Maggi, Chaat Papdi, Raj Kachodi, Pav Bhajji, Rajkachori",251
251,Punjabi By Nature,"North Indian, Mughlai, Desserts, Beverages"," Ambience Mall, Vasant Kunj, New Delhi","Kandhari Chicken, Papad Platter, Murgh Makhanwala, Lahori Masala Paneer, Tandoori Raan, Authentic Punjabi Food",252
252,Potli,"North Indian, Mughlai, Chinese, Biryani, Rolls, Momos"," Central Arcade, DLF Phase 2, Gurgaon, Gurgaon","Pudina Chicken, Dal Handi, Malai Chaap Roll, Rara Chicken, Paneer do Pyaza, Boondi Raita",253
253,Gung -The Palace,Korean," Sector 29, Gurgaon",,254
254,The Asian Tuk Tuk,"Asian, Japanese, Momos"," East of Kailash, New Delhi","Chocolate Burger, Char Siu Bao, Exotic Mushroom, Lamb Rendang, Tuna Sushi, Tempura Prawns",255
255,Chaiyum,"Pizza, Fast Food, Beverages"," Sector 10, Dwarka, New Delhi","Paneer Masala Sandwich, Zaffran Chai, Herb Chilli Burger, Vada Pav Burger, Adrak Tulsi Chai, Chicken Salami Pizza",256
256,Dakshin - Sheraton New Delhi Hotel,South Indian," Sheraton New Delhi Hotel, Saket, New Delhi","South Indian Food, Attitude, Decor, Excellent Service, Great Service, Nice Ambience",257
257,The Joint Cafe,"Cafe, Burger, Italian, American, Steak, Beverages"," DLF Galleria, DLF Phase 4, Gurgaon","Farmhouse Steak, Streaky Bacon, Irish Cream Coffee, Beef Burger, Meat Platter, Finger Chips",258
258,Unplugged Courtyard,"North Indian, Continental, Asian"," Udyog Vihar, Gurgaon","Multani Paneer, Avalanche, Mushroom Dimsum, Veg Manchow, Churros, Dum Aloo",259
259,Moti Mahal Delux- Legendary Culinary,"North Indian, Mughlai, Chinese, Desserts, Beverages"," South Extension 2, New Delhi",,260
260,Nik Baker's,"Bakery, Desserts, Fast Food"," Greater Kailash 2 (GK2), New Delhi","Choco Chip Cookies, Mocha Coffee, Fajita, Eclair, Barbeque Chicken Pizza, Blueberry Cheese Cake",261
261,Matamaal - The Kashmiri Restaurant,Kashmiri," Sikandarpur, Gurgaon","Kashmiri Roganjosh, Chicken Kanti, Marchwangan Korma, Mutton Yakhni, Mutton Meatballs, Authentic Kashmiri Cuisine",262
262,Uno Pizzeria & Grill,"American, Italian, Mexican, Pizza, Beverages"," Gardens Galleria, Sector 38 Noida, Noida","Artichoke Dip, Chicken Pesto Pasta, Mushroom Stroganoff, Chicken Tenders, Fried Cheese, Cookie",263
263,Spice Art - Crowne Plaza,"North Indian, Awadhi, Kebab, Mughlai, Asian, Beverages"," Crowne Plaza Hotel, Rohini, New Delhi","Aloo Kofta, Sweet Paan, Bread Platter, Tandoori Chicken Tikka, Honey Chilli Potatoes, Paneer Lababdar",264
264,California Burrito,"Mexican, American, Beverages"," Sohna Road, Gurgaon",,265
265,Pra Pra Prank,"Asian, Modern Indian"," Cyber Hub, DLF Cyber City, Gurgaon","Bullet Chicken, Prawn Sushi, Ghee Roast Chicken, Rainbow Roll, Tempura Prawns, Appam",266
266,Fat Lulu's Cafe & Bar,"Cafe, Fast Food, Beverages, Pasta, Pizza, Italian"," Supermart 1, DLF Phase 4, Gurgaon",,267
267,Blue Tokai Coffee Roasters,"Coffee, Burger, Sandwich, Pasta, Lebanese"," Champa Gali, Saket, New Delhi","Coconut Mocha, Gourmet Coffee, Flat White Coffee, Cappuccino Coffee, Quiche, Carrot Cake",268
268,Biryani Badshah,"Biryani, North Indian, Chinese, Seafood"," Connaught Place, New Delhi","Panner Biryani, Biryani Combo Meal, Murgh Malai, Mutton Boneless Biryani, Andhra Chicken Curry, Paneer 65",269
269,BreadTalk,"Bakery, Fast Food, Desserts"," Select Citywalk Mall, Saket, New Delhi","Chocolate Cream Roll, Tiramisu Cheesecake, Cheese Tart, Mushroom Puff, Chocolate Croissant, Swiss Roll",270
270,Baris,"Mediterranean, Turkish, Middle Eastern, Kebab, Lebanese"," Greater Kailash 3 (GK3), New Delhi","Turkish Coffee, Pide, Baklava, Lamb Shanks, Mezze Platter, Hummus",271
271,Tossin Pizza,"Pizza, Fast Food, Pasta, Beverages"," DLF Galleria, DLF Phase 4, Gurgaon","Herbed Garlic Bread, Roohafza Mojito, Spicy Pepperoni, Vegetable Calzone, Veg Peri Peri, Strawberry Mojito",272
272,Eleven Course,"North Indian, Chinese, Italian, Mexican, Lebanese, Beverages"," Rohini, New Delhi","Tandoori Platter, Drink, Paneer Lababdar, Mojito, Dal Makhni, Mocktails",273
273,Fez,"Lebanese, Italian, North Indian, Salad"," DLF Phase 5, Gurgaon","Calamari Fritters, Virgin Mint Mojito, Baklava, Cheese Cigars, Mezze, Shish Taouk",274
274,Amar Jyoti,"North Indian, Mughlai, Momos, Chinese, Rolls, Beverages"," Sarojini Nagar, New Delhi","Chicken Tikki Masala, Tawa Seekh, Keema Meat, Masala Paneer, Tawa Paneer, Yellow Dal Tadka",275
275,Crudo Juicery & Salad Bar,"Healthy Food, Salad, Beverages"," DLF Galleria, DLF Phase 4, Gurgaon",,276
276,Lakshmi Coffee House,South Indian," Brahmaputra Shopping Complex, Sector 29, Noida, Noida","Rawa Kesri, Rava Onion Masala, South Indian Filter Coffee, Filtered Coffee, Tomato Rice, Healthy Breakfast",277
277,Whipped,"Bakery, Desserts, Coffee, Fast Food"," Greater Kailash 2 (GK2), New Delhi","Chocolate Truffle Royale, Oreo Crunch, New York Cheesecake, Cake in a Jar, Red Velvet Cheesecake, Cheese Cakes",278
